dataset,method,group,top_features,class_coverage,reconstruction_accuracy,reconstruction_std,semantic_preservation
nyt,baseline,0,1,0.22062973445461678,0.278,0.027129319932501075,0.0
nyt,baseline,0,2,0.22062973445461678,0.29400000000000004,0.024166091947189147,0.0
nyt,baseline,0,3,0.22062973445461678,0.302,0.029257477676655583,0.0
nyt,baseline,0,4,0.22062973445461678,0.312,0.024819347291981715,0.0
nyt,baseline,0,5,0.22062973445461678,0.326,0.03006659275674581,0.0
nyt,baseline,0,6,0.22062973445461678,0.33,0.03286335345030996,0.0
nyt,baseline,0,7,0.22062973445461678,0.334,0.035552777669262355,0.0
nyt,baseline,0,8,0.22062973445461678,0.336,0.03611094017053557,0.0
nyt,baseline,0,9,0.22062973445461678,0.34600000000000003,0.020591260281973996,0.0
nyt,baseline,0,10,0.22062973445461678,0.352,0.02135415650406262,0.0
nyt,baseline,0,11,0.22062973445461678,0.36000000000000004,0.025298221281347035,0.0
nyt,baseline,0,12,0.22062973445461678,0.36000000000000004,0.025298221281347035,0.0
nyt,baseline,0,13,0.22062973445461678,0.352,0.027129319932501075,0.0
nyt,baseline,0,14,0.22062973445461678,0.36,0.0316227766016838,0.0
nyt,baseline,0,15,0.33129358669059944,0.47400000000000003,0.043174066289845804,0.0
nyt,baseline,0,16,0.33129358669059944,0.48199999999999993,0.044452221541785734,0.0
nyt,baseline,0,17,0.33129358669059944,0.47800000000000004,0.03867815921162745,0.0
nyt,baseline,0,18,0.33129358669059944,0.47800000000000004,0.03867815921162745,0.0
nyt,baseline,0,19,0.33129358669059944,0.49000000000000005,0.042426406871192875,0.0
nyt,baseline,0,20,0.33535231864115056,0.49000000000000005,0.042426406871192875,0.0
nyt,baseline,0,21,0.3728981245912907,0.492,0.043081318457076016,0.0
nyt,baseline,0,22,0.3728981245912907,0.48999999999999994,0.04335896677735759,0.0
nyt,baseline,0,23,0.3728981245912907,0.49400000000000005,0.033226495451672305,0.0
nyt,baseline,0,24,0.43042783022871245,0.544,0.03382306905057552,0.0
nyt,baseline,0,25,0.43042783022871245,0.5599999999999999,0.033466401061363005,0.0
nyt,baseline,0,26,0.43042783022871245,0.5780000000000001,0.02785677655436821,0.0
nyt,baseline,0,27,0.43042783022871245,0.572,0.03124099870362659,0.0
nyt,baseline,0,28,0.43042783022871245,0.552,0.03187475490101845,0.0
nyt,baseline,0,29,0.43042783022871245,0.5720000000000001,0.042614551505325025,0.0
nyt,baseline,0,30,0.43042783022871245,0.5660000000000001,0.03555277766926235,0.0
nyt,baseline,0,31,0.43042783022871245,0.572,0.044,0.0
nyt,baseline,0,32,0.4401625901952523,0.586,0.03261901286060016,0.0
nyt,baseline,0,33,0.4401625901952523,0.586,0.028705400188814623,0.0
nyt,baseline,0,34,0.4401625901952523,0.5820000000000001,0.025612496949731372,0.0
nyt,baseline,0,35,0.4401625901952523,0.5820000000000001,0.029933259094191526,0.0
nyt,baseline,0,36,0.4401625901952523,0.584,0.035552777669262355,0.0
nyt,baseline,0,37,0.44816600903199716,0.5880000000000001,0.035440090293338694,0.0
nyt,baseline,0,38,0.44816600903199716,0.606,0.03382306905057556,0.0
nyt,baseline,0,39,0.44816600903199716,0.62,0.03633180424916993,0.0
nyt,baseline,0,40,0.44816600903199716,0.624,0.03498571136907183,0.0
nyt,baseline,0,41,0.44816600903199716,0.6319999999999999,0.0511468474101777,0.0
nyt,baseline,0,42,0.44816600903199716,0.636,0.050833060108555345,0.0
nyt,baseline,0,43,0.44816600903199716,0.636,0.050833060108555345,0.0
nyt,baseline,0,44,0.44816600903199716,0.6439999999999999,0.04963869458396343,0.0
nyt,baseline,0,45,0.44816600903199716,0.6479999999999999,0.049152822909778036,0.0
nyt,baseline,0,46,0.44816600903199716,0.642,0.04874423042781577,0.0
nyt,baseline,0,47,0.5261449161429417,0.702,0.03867815921162742,0.0
nyt,baseline,0,48,0.5261449161429417,0.692,0.027129319932501044,0.0
nyt,baseline,0,49,0.5261449161429417,0.688,0.03187475490101843,0.0
nyt,baseline,0,50,0.5261449161429417,0.696,0.030724582991474406,0.0
nyt,prompting,0,1,0.042470148667640074,0.196,0.01743559577416269,0.0
nyt,prompting,0,2,0.046621057125157205,0.194,0.01019803902718557,0.0
nyt,prompting,0,3,0.07297638537206737,0.2,0.012649110640673514,0.0
nyt,prompting,0,4,0.09357010997022205,0.23399999999999999,0.01959591794226542,0.0
nyt,prompting,0,5,0.16604043758192105,0.28800000000000003,0.027856776554368242,0.0
nyt,prompting,0,6,0.16604043758192105,0.28800000000000003,0.027856776554368242,0.0
nyt,prompting,0,7,0.16871647634558434,0.296,0.02576819745345026,0.0
nyt,prompting,0,8,0.2299494967161833,0.334,0.030724582991474438,0.0
nyt,prompting,0,9,0.2821252838286884,0.41400000000000003,0.04586937976471885,0.0
nyt,prompting,0,10,0.34027724371534396,0.438,0.04118252056394799,0.0
nyt,prompting,0,11,0.5154713751833259,0.632,0.029257477676655614,0.0
nyt,prompting,0,12,0.5154713751833259,0.632,0.029257477676655614,0.0
nyt,prompting,0,13,0.5595032380144815,0.6559999999999999,0.039293765408777,0.0
nyt,prompting,0,14,0.5595032380144815,0.6580000000000001,0.03815756805667782,0.0
nyt,prompting,0,15,0.5927502150885317,0.726,0.04454211490264018,0.0
nyt,prompting,0,16,0.5927502150885317,0.742,0.04069397989875165,0.0
nyt,prompting,0,17,0.5927502150885317,0.736,0.04029888335921981,0.0
nyt,prompting,0,18,0.5927502150885317,0.734,0.03611094017053561,0.0
nyt,prompting,0,19,0.5927502150885317,0.736,0.024166091947189165,0.0
nyt,prompting,0,20,0.5927502150885317,0.736,0.024166091947189165,0.0
nyt,prompting,0,21,0.5927502150885317,0.742,0.02925747767665561,0.0
nyt,prompting,0,22,0.5927502150885317,0.744,0.024166091947189168,0.0
nyt,prompting,0,23,0.5927502150885317,0.7540000000000001,0.025768197453450273,0.0
nyt,prompting,0,24,0.6252416526515832,0.762,0.03709447398198285,0.0
nyt,prompting,0,25,0.6252416526515832,0.766,0.03878143885933067,0.0
nyt,prompting,0,26,0.6252416526515832,0.766,0.03826225293941802,0.0
nyt,prompting,0,27,0.6252416526515832,0.784,0.034985711369071804,0.0
nyt,prompting,0,28,0.6368031816294282,0.8,0.035213633723318004,0.0
nyt,prompting,0,29,0.6368031816294282,0.8,0.035213633723318004,0.0
nyt,prompting,0,30,0.6402436161216856,0.806,0.03878143885933063,0.0
nyt,prompting,0,31,0.6402436161216856,0.8099999999999999,0.03687817782917154,0.0
nyt,prompting,0,32,0.6405660046315771,0.808,0.03762977544445355,0.0
nyt,prompting,0,33,0.6405660046315771,0.808,0.03762977544445355,0.0
nyt,prompting,0,34,0.6405660046315771,0.808,0.036551333764994115,0.0
nyt,prompting,0,35,0.6405660046315771,0.808,0.03310589071449368,0.0
nyt,prompting,0,36,0.6405660046315771,0.808,0.03310589071449368,0.0
nyt,prompting,0,37,0.6405660046315771,0.8039999999999999,0.043174066289845804,0.0
nyt,prompting,0,38,0.6405660046315771,0.8039999999999999,0.043174066289845804,0.0
nyt,prompting,0,39,0.6405660046315771,0.8039999999999999,0.04543126676640218,0.0
nyt,prompting,0,40,0.6405660046315771,0.8,0.0442718872423573,0.0
nyt,prompting,0,41,0.6405660046315771,0.8019999999999999,0.04534313619501853,0.0
nyt,prompting,0,42,0.6405660046315771,0.8,0.043817804600413277,0.0
nyt,prompting,0,43,0.6405660046315771,0.798,0.0406939798987516,0.0
nyt,prompting,0,44,0.6405660046315771,0.8,0.032863353450309954,0.0
nyt,prompting,0,45,0.6405660046315771,0.8019999999999999,0.0312409987036266,0.0
nyt,prompting,0,46,0.6405660046315771,0.8019999999999999,0.02856571371417138,0.0
nyt,prompting,0,47,0.6405660046315771,0.8039999999999999,0.031368774282716234,0.0
nyt,prompting,0,48,0.6405660046315771,0.8039999999999999,0.03382306905057552,1.0
nyt,prompting,0,49,0.6405660046315771,0.8039999999999999,0.03720215047547654,1.0
nyt,prompting,0,50,0.6405660046315771,0.8020000000000002,0.02856571371417138,1.0
nyt,clustering,0,1,0.16227209056411182,0.32599999999999996,0.01854723699099141,0.0
nyt,clustering,0,2,0.19479021103861774,0.328,0.022271057451320093,0.0
nyt,clustering,0,3,0.2902307470511768,0.392,0.03815756805667783,0.0
nyt,clustering,0,4,0.297314852950901,0.4,0.020976176963403023,0.0
nyt,clustering,0,5,0.3305423150603803,0.45,0.028982753492378877,0.0
nyt,clustering,0,6,0.3307160515930238,0.472,0.013266499161421592,0.0
nyt,clustering,0,7,0.40579860262299394,0.558,0.017204650534085226,0.0
nyt,clustering,0,8,0.40579860262299394,0.558,0.017204650534085226,0.0
nyt,clustering,0,9,0.430180410728586,0.598,0.042614551505325025,0.0
nyt,clustering,0,10,0.430180410728586,0.596,0.04270831300812524,0.0
nyt,clustering,0,11,0.512179365158056,0.682,0.04445222154178573,0.0
nyt,clustering,0,12,0.5173731025126835,0.694,0.03498571136907179,0.0
nyt,clustering,0,13,0.5173731025126835,0.71,0.035213633723318025,0.0
nyt,clustering,0,14,0.5173731025126835,0.7140000000000001,0.03382306905057552,0.0
nyt,clustering,0,15,0.5173731025126835,0.718,0.03655133376499413,0.0
nyt,clustering,0,16,0.5173731025126835,0.7300000000000001,0.035213633723318025,0.0
nyt,clustering,0,17,0.5199113384768731,0.748,0.04166533331199932,0.0
nyt,clustering,0,18,0.569653814645893,0.7700000000000001,0.028284271247461888,0.0
nyt,clustering,0,19,0.569653814645893,0.752,0.03867815921162746,0.0
nyt,clustering,0,20,0.569653814645893,0.7440000000000001,0.030066592756745846,0.0
nyt,clustering,0,21,0.569653814645893,0.754,0.04270831300812524,0.0
nyt,clustering,0,22,0.569653814645893,0.754,0.03382306905057551,0.0
nyt,clustering,0,23,0.569653814645893,0.76,0.037947331922020544,0.0
nyt,clustering,0,24,0.569653814645893,0.768,0.03310589071449369,0.0
nyt,clustering,0,25,0.569653814645893,0.776,0.02576819745345024,0.0
nyt,clustering,0,26,0.569653814645893,0.774,0.030066592756745798,0.0
nyt,clustering,0,27,0.6137961941821326,0.798,0.027129319932501044,1.0
nyt,clustering,0,28,0.6137961941821326,0.7959999999999999,0.027276363393971687,1.0
nyt,clustering,0,29,0.6137961941821326,0.8039999999999999,0.02576819745345023,1.0
nyt,clustering,0,30,0.6137961941821326,0.806,0.022449944320643622,1.0
nyt,clustering,0,31,0.6187619200573069,0.8119999999999999,0.015999999999999966,1.0
nyt,clustering,0,32,0.6187619200573069,0.798,0.01720465053408524,1.0
nyt,clustering,0,33,0.6187619200573069,0.8,0.01788854381999831,1.0
nyt,clustering,0,34,0.6187619200573069,0.8,0.010954451150103291,1.0
nyt,clustering,0,35,0.6187619200573069,0.808,0.015999999999999966,1.0
nyt,clustering,0,36,0.6187619200573069,0.804,0.013564659966250522,1.0
nyt,clustering,0,37,0.6187619200573069,0.806,0.020591260281973976,1.0
nyt,clustering,0,38,0.6187619200573069,0.8160000000000001,0.020591260281973965,1.0
nyt,clustering,0,39,0.6187619200573069,0.8160000000000001,0.019595917942265395,1.0
nyt,clustering,0,40,0.6187619200573069,0.818,0.017204650534085222,1.0
